profile_id,name,belief_score,u_pos_x,u_pos_y,estimated_range_m,estimated_bearing_rad,estimated_convoy_heading_rad,estimated_convoy_speed_mps,estimated_contact_count,estimated_formation_width_m,estimated_formation_depth_m,estimated_contact_density_per_km2,estimated_aspect_rad,projected_target_span_m,bearing_alignment_error_rad,range_score,bearing_alignment_score,aspect_score,formation_span_score,contact_density_score,spread_score,contact_score,inside_score,uncertainty_score,spawn_region,approach_side,inside_convoy_envelope,spread_rad,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,candidate_source_label,selector_method,belief_rank,full_state_rank,attacker_score,expected_loss,expected_hits,expected_unique_ships_hit,value_lost,in_full_state_top_k,in_belief_top_k
VAE000046,vae_candidate_000046,0.8810619978993085,-2190.8779296875,-1154.27197265625,2467.178831122912,0.46593924493945665,-0.0013001755775813833,5.013535869560991,42,8246.309048681767,2344.5870843296743,2.172317571914955,2.6743532330727553,8418.48607925111,0.17665531498462977,0.9991472455880733,0.9922184930595314,0.4504233177045266,1.0,0.2715396964893694,0.9089452035430667,1.0,0.0,0.07528645174451182,astern_vae,astern,False,0.11423031240701675,1.1417341232299805,2.940579414367676,1.5012290477752686,vae_candidate_pool_v1,belief_limited_heuristic_v1,21,47,4.136666666666666,4.136666666666666,2.8,1.9333333333333331,2.03,False,True
VAE000074,vae_candidate_000074,0.8790240712850889,2514.854248046875,-1715.7232666015625,3006.9930322161385,2.5544218993701002,0.00023681886157010668,5.438911998183498,42,8293.480651267568,2530.6264358277217,2.00117198340621,0.5874075730812633,8305.815001486999,0.39411422575778937,0.9327216181436766,0.9616685277053485,0.5542050027808952,1.0,0.25014649792577626,0.9599744492996636,1.0,0.0,0.07036877644523609,ahead_vae,ahead,False,0.1049039214849472,1.5674147605895996,2.9544761180877686,1.2813212871551514,vae_candidate_pool_v1,belief_limited_heuristic_v1,22,40,4.299999999999999,4.299999999999999,3.0,2.0,2.1000000000000005,False,True
VAE000033,vae_candidate_000033,0.8712271924226078,2565.884033203125,-1590.508544921875,3067.284776196661,2.579508935620872,0.0008354959116241029,5.113645587739327,42,8203.390710900714,2470.493044671985,2.072393675554834,0.5629192138805454,8256.011078957537,0.3990465575340032,0.919273285212313,0.9607159316424212,0.5336572499562251,1.0,0.2590492094443542,0.9622937499719229,1.0,0.0,0.0709804100823103,ahead_vae,ahead,False,0.10437503457069397,0.7733955383300781,1.5034499168395996,1.302285075187683,vae_candidate_pool_v1,belief_limited_heuristic_v1,23,55,3.888333333333333,3.888333333333333,2.7333333333333334,1.8333333333333333,1.8749999999999996,False,True
VAE000069,vae_candidate_000069,0.8698644512397271,-2362.634765625,-2605.17138671875,3536.599875719662,0.7936773805458662,0.05403049160232298,5.326925659133112,42,8146.696915105733,2480.4416431252603,2.078445863539829,2.4019457646462503,7689.9037783849135,0.1842855523417738,0.7833248401540122,0.9915337099632116,0.6740271081830217,1.0,0.2598057329424786,0.9963721523260303,1.0,0.0,0.06966234542407235,astern_vae,astern,False,0.08200548589229584,0.689021646976471,2.015322685241699,1.2885938882827759,vae_candidate_pool_v1,belief_limited_heuristic_v1,24,49,4.083333333333333,4.083333333333333,2.1666666666666665,2.0,2.0499999999999994,False,True
VAE000113,vae_candidate_000113,0.8693534003374427,658.0154418945312,639.2361450195312,1045.9338497878348,-2.403978285180818,-0.025381074498687116,4.762224732957076,42,8331.541291570975,2434.262686124561,2.0708874554558303,-0.7629954429076622,7704.07442911204,0.6785607087686547,0.7070906279818917,0.8892384646652118,0.6910895560183148,1.0,0.2588609319319788,0.9896003962650569,1.0,1.0,0.10136267766796932,inside_convoy_envelope,inside,True,0.09618902951478958,1.3728572130203247,2.4830989837646484,1.1822774410247803,vae_candidate_pool_v1,belief_limited_heuristic_v1,25,30,4.376666666666666,4.376666666666666,3.1333333333333333,2.0,2.15,False,True
VAE000010,vae_candidate_000010,0.8663064819239434,-17.41888427734375,536.518310546875,425.43090142666006,-1.5617753536266805,0.019228334872667428,5.031835075341877,42,8253.665243242653,2383.2271423847983,2.135192343565553,-1.5605889650904452,2467.3496725277023,0.21348357617021518,0.47852993614521666,0.9886493979543163,0.9999479053358326,0.9489806432798855,0.2668990429456941,0.9731236182941665,1.0,1.0,0.19973205186704748,inside_convoy_envelope,inside,True,0.07286243140697479,2.281564235687256,2.4755561351776123,1.4623152017593384,vae_candidate_pool_v1,belief_limited_heuristic_v1,26,73,2.700000000000001,2.700000000000001,4.0,1.0,1.1000000000000003,False,False
VAE000102,vae_candidate_000102,0.8588105896938097,922.364013671875,-861.5762329101562,1141.7667353763622,2.3711655131791813,0.010508953516040734,4.746294541138617,42,8278.4274133961,2381.692568428901,2.130177257432527,0.7809360939266531,7556.373165769859,0.8220055145844336,0.7413574428599685,0.8403767563345172,0.7039445928165757,1.0,0.2662721571790659,0.8678357116399719,1.0,1.0,0.09717953222717195,inside_convoy_envelope,inside,True,0.05441056936979294,1.1471489667892456,1.5027960538864136,1.534437894821167,vae_candidate_pool_v1,belief_limited_heuristic_v1,27,79,2.599999999999999,2.599999999999999,4.0,1.0,1.0,False,False
VAE000025,vae_candidate_000025,0.8477813019973174,1978.53759765625,1037.26220703125,2135.9855962482825,-2.6947625564119506,-0.006714052784703712,4.816297691582376,42,8244.400405858561,2205.0282863188677,2.3103408089399284,-0.4535441499625462,8377.032648131586,0.6560440168632491,0.986909944896956,0.8962057617475427,0.4381541151963349,1.0,0.28879260111749105,0.875503108685164,1.0,0.0,0.07975923914875342,ahead_vae,ahead,False,0.055446308106184006,0.8874381184577942,2.5909335613250732,1.7860039472579956,vae_candidate_pool_v1,belief_limited_heuristic_v1,28,67,3.156666666666667,3.156666666666667,4.0,1.2666666666666666,1.343333333333333,False,False
VAE000037,vae_candidate_000037,0.8421003117502636,-2667.9755859375,533.668701171875,2698.5713867708787,-0.23901173073642418,0.021251927490701424,4.89852243905879,42,8215.397824992597,2357.4378496646427,2.1686049246569477,-2.8813289953626673,8545.373067009468,0.04466441319036041,0.9832896108990458,0.9995013554527674,0.2573353396219881,1.0,0.27107561558211846,0.9330922692699588,1.0,0.0,0.07394657342094313,astern_vae,astern,False,0.0643017515540123,1.9131050109863281,2.004061698913574,1.4365832805633545,vae_candidate_pool_v1,belief_limited_heuristic_v1,29,61,3.5450000000000013,3.5450000000000013,1.8,1.8,1.7450000000000006,False,False
VAE000017,vae_candidate_000017,0.837175849435414,-2924.256103515625,-2160.740966796875,3622.3207280552824,0.6222819546463267,0.024862295683741948,5.2045182435919655,42,8319.728339698628,2562.1139953966062,1.970342367554482,2.544172994627209,8319.884002276465,0.046750600523262194,0.7539475263935128,0.9994536948497801,0.5625109486626122,1.0,0.24629279594431025,0.9656839106749487,1.0,0.0,0.06838035194878368,astern_vae,astern,False,0.10357355326414108,0.7978635430335999,2.0834662914276123,1.0604908466339111,vae_candidate_pool_v1,belief_limited_heuristic_v1,30,57,3.649999999999999,3.649999999999999,1.8,1.8,1.8499999999999992,False,False
VAE000116,vae_candidate_000116,0.8321123932214756,-1563.083251953125,-551.2141723632812,1729.9872754727844,0.364883705918546,0.019253412268532166,4.826269794381643,42,8212.525000026708,2489.2409970084595,2.0544976115666196,2.7959623599397796,8570.182907827026,0.40201868996409906,0.918639556476157,0.9601365014629666,0.33878976391277,1.0,0.25681220144582745,0.979445662712011,1.0,0.0,0.08037818808773167,astern_vae,astern,False,0.09984268248081207,1.2824881076812744,1.5167346000671387,1.414507269859314,vae_candidate_pool_v1,belief_limited_heuristic_v1,31,6,6.136666666666666,6.136666666666666,3.3,2.933333333333333,3.1300000000000012,True,False
VAE000125,vae_candidate_000125,0.8288765268575933,-2411.379638671875,3453.46875,4144.256127487461,-0.9381509957903933,4.810229893860865e-05,5.387666515688389,42,8197.777623743608,2537.635407772406,2.018942413483923,-2.203393555500461,6893.45488264506,0.17963511335589077,0.5626326006263465,0.9919544763956641,0.8064946410429643,1.0,0.2523678016854904,0.9836271089588502,1.0,0.0,0.06787934411986138,astern_vae,astern,False,0.09847889840602875,0.9933589100837708,1.4986398220062256,1.6357755661010742,vae_candidate_pool_v1,belief_limited_heuristic_v1,32,31,4.366666666666665,4.366666666666665,2.433333333333333,2.1,2.2000000000000006,False,False
VAE000112,vae_candidate_000112,0.8278340954368703,-2408.474609375,-612.0397338867188,2431.4209661555833,0.24479874404400798,0.06693981609113192,5.343421975398016,42,8203.120715769082,2428.6572371182533,2.108161907643053,2.9637337256369176,8503.399015430812,0.13276292611548496,0.9998133865800178,0.995599969970836,0.1769226844532834,1.0,0.26352023845538164,0.9157660423575575,1.0,0.0,0.07431377386017092,astern_vae,astern,False,0.06137987598776817,0.6312564015388489,2.968106746673584,1.6263428926467896,vae_candidate_pool_v1,belief_limited_heuristic_v1,33,16,5.180000000000002,5.180000000000002,2.6333333333333333,2.566666666666667,2.5999999999999996,True,False
VAE000096,vae_candidate_000096,0.8248224234522853,-975.9915161132812,670.3599243164062,1261.529809480579,-0.6465105195392356,0.041604158600095156,4.8375973930419685,42,8354.029946168124,2269.346108150607,2.215401908680226,-2.453477975450462,7894.247207698432,1.2551146358532472,0.7826950134660083,0.6552322742350072,0.6350820048455225,1.0,0.27692523858502827,0.9942315664294157,1.0,1.0,0.09386645791711015,inside_convoy_envelope,inside,True,0.08062896877527237,1.642892599105835,2.007685899734497,1.6848200559616089,vae_candidate_pool_v1,belief_limited_heuristic_v1,34,35,4.349999999999999,4.349999999999999,3.0,2.0,2.15,False,False
VAE000027,vae_candidate_000027,0.8092212204006215,-640.3912963867188,4625.11181640625,4647.480101616508,-1.4379018567685118,0.007432346291757148,4.747289244847191,42,8354.09558756962,2522.5162219061685,1.993039391639399,-1.6962584505295242,3548.064141187002,0.33444054279121604,0.38486912081511104,0.972297047054277,0.9921399461319296,1.0,0.24912992395492486,0.9992273205061608,1.0,0.0,0.06747330054819593,port_vae,port,False,0.08484023809432983,1.8518354892730713,2.380859136581421,1.256635308265686,vae_candidate_pool_v1,belief_limited_heuristic_v1,35,5,6.143333333333334,6.143333333333334,3.466666666666667,3.0,3.049999999999999,True,False
VAE000086,vae_candidate_000086,0.804671674744497,-1949.15625,-196.97781372070312,1925.1835587760602,0.10229366555705209,0.010266986642071449,5.2652270423346135,42,8084.230473476882,2558.6677989861155,2.0304705765478923,3.0495659746748127,8285.155801594015,0.18393890434213594,0.9582771225577925,0.9915654410529534,0.09189683963578733,1.0,0.25380882206848654,0.9977769985898759,1.0,0.0,0.07700220783765707,astern_vae,astern,False,0.08314967155456543,1.451946496963501,2.405017137527466,1.7908753156661987,vae_candidate_pool_v1,belief_limited_heuristic_v1,36,100,1.8366666666666664,1.8366666666666664,0.9666666666666668,0.9666666666666668,0.8699999999999998,False,False
VAE000117,vae_candidate_000117,0.8025897252212454,3274.00439453125,1612.6666259765625,3704.6293284682274,-2.667069843392648,0.019265159662950074,5.121622773698628,42,8253.144835269566,2337.9533765359733,2.1766769461043456,-0.4552576505341952,8440.527091015674,0.24027856549316737,0.72487936221715,0.9856358607081149,0.43969373665046096,1.0,0.2720846182630432,0.9788358847486545,1.0,0.0,0.07139743559358741,ahead_vae,ahead,False,0.07450307905673981,1.2540521621704102,2.454575538635254,1.8587108850479126,vae_candidate_pool_v1,belief_limited_heuristic_v1,37,89,2.326666666666667,2.326666666666667,2.6333333333333333,1.0,1.0,False,False
VAE000127,vae_candidate_000127,0.7990720440076989,2347.380126953125,-536.7677001953125,2361.8897013147025,2.8976252754618024,0.0103670378189282,5.139748895642029,42,8257.071961404356,2480.7694260875146,2.0503916284499693,0.25433441594691897,8615.614772760928,0.8164624120613047,0.9997254828916557,0.8424017128638018,0.2516012915509445,1.0,0.25629895355624616,0.8652665569921331,1.0,0.0,0.07405260508641857,ahead_vae,ahead,False,0.05406875163316727,1.3084014654159546,1.9966211318969727,1.1051881313323975,vae_candidate_pool_v1,belief_limited_heuristic_v1,38,28,4.400000000000001,4.400000000000001,3.0,2.0,2.2000000000000006,False,False
VAE000105,vae_candidate_000105,0.7956280506429021,3188.612548828125,1085.619140625,3498.3905525829186,-2.8277576374438995,0.009102229738763101,4.937306889352513,42,8285.834143851434,2243.6360663949736,2.2592310171900074,-0.3047327864071305,8577.258955220488,0.3139716854124903,0.7960728210338788,0.9755572324770165,0.3000382836201191,1.0,0.2824038771487509,0.9979048885439349,1.0,0.0,0.07334295481580334,ahead_vae,ahead,False,0.09126295149326324,1.5730218887329102,2.394543170928955,1.8887828588485718,vae_candidate_pool_v1,belief_limited_heuristic_v1,39,84,2.456666666666667,2.456666666666667,3.033333333333333,1.0,1.0500000000000005,False,False
VAE000011,vae_candidate_000011,0.7950744418305833,614.6226196289062,4504.19580078125,4592.928653281393,-1.7332298285722678,0.07662104394552456,5.078572544102983,42,8359.635265613992,2392.0696328333825,2.100332938430377,-1.3317417810720007,4303.473874190684,0.34098533944878695,0.4029021137232291,0.9712128049683322,0.9715622776517797,1.0,0.2625416173037971,0.8436753416654104,1.0,0.0,0.06937642727036894,port_vae,port,False,0.05128689855337143,1.5397061109542847,2.023693084716797,1.0849088430404663,vae_candidate_pool_v1,belief_limited_heuristic_v1,40,15,5.606666666666667,5.606666666666667,3.4,2.6666666666666665,2.7933333333333334,True,False
VAE000067,vae_candidate_000067,0.7913971439166003,3136.110595703125,535.8687133789062,3099.7660315083326,-2.976609844606151,-0.033427176920783105,5.700271418138615,41,8204.748579618212,2492.3817709612813,2.004952154051749,-0.19840998590442516,8535.056737132207,0.15324086684508842,0.9115893269096145,0.9941407885302078,0.19711076064593414,1.0,0.2506190192564686,0.7921078875470947,0.9761904761904762,0.0,0.07058844630053024,ahead_vae,ahead,False,0.1293952614068985,2.3564612865448,1.5173447132110596,1.1970869302749634,vae_candidate_pool_v1,belief_limited_heuristic_v1,41,25,4.569999999999999,4.569999999999999,4.0,2.066666666666667,2.116666666666666,True,False
