model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_compact_loose_train,P30,24,1.7916666666666667,3.0,0.9166666666666666,1.8583333333333336,1.7916666666666667,0.0,3.65,6.075
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P03,24,2.25,3.25,1.0,1.8374999999999997,1.7083333333333333,0.5416666666666666,3.654166666666667,5.275
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P08,24,3.25,4.0,1.0,3.9874999999999994,2.875,0.5416666666666666,6.970833333333334,7.449999999999999
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P10,24,2.625,4.0,1.0,2.1,1.9583333333333333,0.7083333333333334,4.199999999999999,5.04
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P12,24,3.125,4.0,1.0,4.154166666666666,2.9583333333333335,0.20833333333333334,7.154166666666666,7.4
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P13,24,2.0416666666666665,2.0869565217391304,1.0,4.1125,1.9583333333333333,0.125,6.095833333333332,6.217391304347825
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P14,24,4.0,4.0,1.0,5.555729166666667,4.708333333333333,0.041666666666666664,10.272395833333334,12.487500000000002
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P20,24,1.1666666666666667,2.25,0.9583333333333334,2.1874999999999996,1.0416666666666667,0.125,3.2541666666666664,4.8
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P23,24,2.125,3.0,1.0,3.9374999999999996,1.875,0.3333333333333333,5.879166666666666,8.333333333333332
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P26,24,2.8333333333333335,3.0526315789473686,1.0,2.8874999999999993,1.875,0.9583333333333334,4.954166666666667,5.3617647058823525
rect_uniform_6x7_none_mixed_balanced_compact_loose_eval,P29,24,1.9583333333333333,2.0,1.0,7.29375,3.25,0.0,10.543750000000001,13.294444444444444
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P01,24,3.5,4.0,1.0,3.4041666666666663,2.375,1.125,6.004166666666666,7.7625
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P02,24,2.375,3.111111111111111,1.0,3.4124999999999996,2.125,0.3333333333333333,5.604166666666667,7.899999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P04,24,3.4166666666666665,4.0,1.0,4.8,3.0,0.5,7.899999999999999,10.1
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P05,24,2.8333333333333335,3.0526315789473686,1.0,3.6374999999999993,2.2083333333333335,0.6666666666666666,5.979166666666667,8.299999999999999
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P06,24,2.6666666666666665,3.0625,1.0,3.587499999999999,1.7083333333333333,0.9583333333333334,5.4875,6.4142857142857155
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P07,24,3.6666666666666665,4.0,1.0,4.1,3.0,0.6666666666666666,7.233333333333333,7.3
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P09,24,2.2083333333333335,3.111111111111111,1.0,3.5437499999999993,2.4166666666666665,0.041666666666666664,5.96875,7.577272727272728
rect_uniform_6x7_none_mixed_balanced_standard_compact_train,P11,24,3.7083333333333335,4.0,1.0,6.125,3.9166666666666665,0.0,10.041666666666666,10.300000000000002
